Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
120,51,24466,0,-10,66351,0,51,24466,0
121,128,908,0,31,60419,0,128,908,0
122,129,8836,0,46,01165,0,129,8836,0
123,166,4433,0,72,49483,0,166,4433,0
124,166,442,0,105,5636,0,166,442,0
125,189,6731,0,145,9985,0,189,6731,0
126,231,5581,0,164,7885,0,231,5581,0
127,231,6064,0,187,9679,0,231,6064,0
128,258,5369,0,216,7673,0,258,5369,0
129,304,8468,0,232,0388,0,304,8468,0
130,332,0679,0,254,1308,0,332,0679,0
131,415,5259,0,293,0427,0,415,5259,0
132,415,5259,0,334,5161,0,415,5259,0
133,470,5817,0,368,5283,0,470,5817,0
134,501,1454,0,395,6511,0,501,1454,0
135,603,0788,0,420,4628,0,603,0788,0
136,603,0792,0,476,4868,0,603,0792,0
137,603,0788,0,494,1644,0,603,0788,0
138,603,0789,0,538,3276,0,603,0789,0
139,603,0798,0,537,9172,0,603,0798,0
140,2070,956,0,1784,391,0,2070,956,0
141,2143,899,0,1877,407,0,2143,899,0
142,2251,271,0,1848,109,0,2251,271,0
143,2449,446,0,1968,389,0,2449,446,0
144,2670,77,0,2084,181,0,2670,77,0
145,2865,12,0,2247,804,0,2865,12,0
146,3167,929,0,2353,005,0,3167,929,0
147,3178,051,0,2324,306,0,3178,051,0
148,3484,677,0,2796,832,0,3484,677,0
149,3484,687,0,2882,018,0,3484,687,0
150,3484,708,0,3174,871,0,3484,708,0
151,3484,694,0,3302,657,0,3484,694,0
152,3586,178,0,3367,736,0,3586,178,0
153,3586,196,0,3381,826,0,3586,196,0
154,3627,429,0,3345,862,0,3627,429,0
155,3627,432,0,3330,126,0,3627,432,0
156,3857,961,0,3365,533,0,3857,961,0
157,5921,391,0,3588,678,0,5921,391,0
158,5991,048,0,3937,391,0,5991,048,0
159,5991,042,0,4428,342,0,5991,042,0
160,183,6779,0,177,8051,0,183,6779,0
161,184,8393,0,181,7218,0,184,8393,0
162,187,6152,0,183,2452,0,187,6152,0
163,189,2777,0,184,2817,0,189,2777,0
164,189,4196,0,184,4241,0,189,4196,0
165,189,6542,0,187,5139,0,189,6542,0
166,190,2923,0,188,8557,0,190,2923,0
167,190,7216,0,189,381,0,190,7216,0
168,192,1316,0,190,282,0,192,1316,0
169,192,4647,0,190,6322,0,192,4647,0
170,192,4647,0,191,2453,0,192,4647,0
