Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
138;482,3946;0;474,8088;0;482,3946;0
139;593,5203;0;580,5158;0;593,5203;0
140;676,3422;0;646,3774;0;676,3422;0
141;482,5484;0;479,0714;0;482,5484;0
142;624,4563;0;608,7184;0;624,4563;0
143;479,1403;0;466,5657;0;479,1403;0
144;569,7311;0;551,9057;0;569,7311;0
145;436,2343;0;430,6531;0;436,2343;0
146;489;0;476,4799;0;489;0
147;445,3658;0;439,2469;0;445,3658;0
148;602,0048;0;589,011;0;602,0048;0
149;650,8135;0;630,6456;0;650,8135;0
150;1361,971;0;1321,452;0;1361,971;0
151;452,3541;0;444,3323;0;452,3541;0
152;456,5568;0;447,4435;0;456,5568;0
153;537,5438;0;530,7953;0;537,5438;0
154;564,3047;0;553,9457;0;564,3047;0
155;544,7892;0;532,7963;0;544,7892;0
156;546,1537;0;540,442;0;546,1537;0
157;5290,286;0;4224,47;0;5290,286;0
158;5264,882;0;4339,401;0;5264,882;0
159;607,1011;0;587,3174;0;607,1011;0
160;484,3154;0;478,9649;0;484,3154;0
161;5279,93;0;4436,802;0;5279,93;0
162;539,6841;0;529,3226;0;539,6841;0
163;2467,855;0;1513,118;0;2467,855;0
164;457,3008;0;450,2617;0;457,3008;0
165;485,3291;0;476,1041;0;485,3291;0
166;465,4307;0;457,1516;0;465,4307;0
167;5295,316;0;4662,735;0;5295,316;0
168;2493,82;0;1577,89;0;2493,82;0
169;465,2842;0;458,4282;0;465,2842;0
170;488,5151;0;480,2137;0;488,5151;0
171;467,765;0;463,938;0;467,765;0
172;432,9722;0;425,9577;0;432,9722;0
173;2505,786;0;1985,217;0;2505,786;0
174;482,1003;0;469,8998;0;482,1003;0
175;450,7162;0;443,5461;0;450,7162;0
176;661,0538;0;630,7657;0;661,0538;0
177;906,6723;0;885,1608;0;906,6723;0
178;4066,492;0;3762,325;0;4066,492;0
179;453,3062;0;444,3095;0;453,3062;0
180;579,1631;0;572,0362;0;579,1631;0
181;483,4294;0;476,1784;0;483,4294;0
182;491,7354;0;486,5686;0;491,7354;0
183;423,9042;0;415,673;0;423,9042;0
184;1306,752;0;1296,301;0;1306,752;0
185;458,0991;0;452,9601;0;458,0991;0
186;1307,327;0;884,266;0;1307,327;0
187;511,3441;0;497,1747;0;511,3441;0
188;542,3069;0;534,1226;0;542,3069;0
189;932,2842;0;888,5778;0;932,2842;0
190;453,3051;0;445,8071;0;453,3051;0
191;5277,577;0;4482,244;0;5277,577;0
192;4034,899;0;3951,288;0;4034,899;0
193;1324,921;0;879,9961;0;1324,921;0
194;1346,033;0;1310,734;0;1346,033;0
195;4087,853;0;3729,048;0;4087,853;0
196;630,4768;0;611,2491;0;630,4768;0
197;2512,248;0;1524,463;0;2512,248;0
198;505,8113;0;497,5522;0;505,8113;0
199;453,0339;0;445,2908;0;453,0339;0
200;739,161;0;728,5157;0;739,161;0
201;454,6252;0;446,3665;0;454,6252;0
202;4070,594;0;3958,235;0;4070,594;0
203;2501,816;0;2246,93;0;2501,816;0
204;1325,556;0;1272,938;0;1325,556;0
205;520,6465;0;514,5906;0;520,6465;0
206;440,7554;0;435,2219;0;440,7554;0
207;921,6934;0;897,244;0;921,6934;0
208;491,5299;0;486,4444;0;491,5299;0
209;447,5193;0;432,5193;0;447,5193;0
210;614,1988;0;606,5612;0;614,1988;0
211;463,3164;0;456,9726;0;463,3164;0
212;493,7513;0;488,0036;0;493,7513;0
213;605,4686;0;590,9739;0;605,4686;0
214;5245,887;0;4404,155;0;5245,887;0
215;451,5201;0;449,46;0;451,5201;0
216;457,9692;0;448,2081;0;457,9692;0
217;457,8314;0;452,9959;0;457,8314;0
218;453,7079;0;447,3683;0;453,7079;0
219;485,5602;0;478,8853;0;485,5602;0
220;5227,454;0;4317,848;0;5227,454;0
221;520,2136;0;511,984;0;520,2136;0
222;922,7412;0;882,9412;0;922,7412;0
223;451,1751;0;442,9792;0;451,1751;0
224;553,2906;0;546,7848;0;553,2906;0
225;495,4828;0;487,0375;0;495,4828;0
226;2520,345;0;1376,453;0;2520,345;0
227;4082,889;0;4054,706;0;4082,889;0
228;480,1763;0;469,5348;0;480,1763;0
229;756,7076;0;743,6373;0;756,7076;0
230;479,9069;0;475,3767;0;479,9069;0
231;5219,182;0;4272;0;5219,182;0
232;482,5116;0;461,7086;0;482,5116;0
233;782,0343;0;752,9841;0;782,0343;0
234;489,9899;0;484,2161;0;489,9899;0
235;670,3736;0;654,183;0;670,3736;0
236;547,8061;0;539,996;0;547,8061;0
237;4091,553;0;3906,15;0;4091,553;0
238;440,4485;0;426,0922;0;440,4485;0
239;5211,672;0;3998,885;0;5211,672;0
240;752,2371;0;709,2241;0;752,2371;0
241;1368,413;0;1305,636;0;1368,413;0
242;496,4926;0;486,9697;0;496,4926;0
243;437,2078;0;429,2284;0;437,2078;0
244;491,0862;0;481,7655;0;491,0862;0
245;504,2842;0;493,7115;0;504,2842;0
246;474,3922;0;466,2849;0;474,3922;0
247;694,772;0;678,7495;0;694,772;0
248;585,0552;0;577,8881;0;585,0552;0
249;457,2673;0;451,3389;0;457,2673;0
250;776,3757;0;745,8665;0;776,3757;0
251;587,4144;0;579,4499;0;587,4144;0
252;522,4133;0;514,3757;0;522,4133;0
253;958,5989;0;935,8436;0;958,5989;0
254;474,4006;0;465,7454;0;474,4006;0
255;468,1765;0;462,4605;0;468,1765;0
256;643,9515;0;638,4448;0;643,9515;0
257;660,3831;0;648,4344;0;660,3831;0
258;4037,647;0;3493,718;0;4037,647;0
259;487,9751;0;475,8941;0;487,9751;0
260;931,8521;0;877,2429;0;931,8521;0
261;474,2399;0;463,0601;0;474,2399;0
262;427,7918;0;421,9551;0;427,7918;0
263;1343,073;0;1332,535;0;1343,073;0
264;540,2582;0;531,4669;0;540,2582;0
265;510,4639;0;506,9738;0;510,4639;0
266;500,7974;0;493,9933;0;500,7974;0
267;442,9722;0;437,4118;0;442,9722;0
268;1320,37;0;1314,3;0;1320,37;0
269;522,7298;0;513,7479;0;522,7298;0
270;481,7025;0;475,6437;0;481,7025;0
271;430,522;0;425,2457;0;430,522;0
272;550,8818;0;542,0027;0;550,8818;0
273;470,8503;0;467,1476;0;470,8503;0
274;601,7903;0;589,1126;0;601,7903;0
275;618,1938;0;603,8003;0;618,1938;0
276;772,483;0;758,0764;0;772,483;0
277;479,2491;0;475,1726;0;479,2491;0
278;433,7847;0;428,6178;0;433,7847;0
279;552,1332;0;545,6999;0;552,1332;0
280;519,4314;0;512,587;0;519,4314;0
281;762,2723;0;749,4803;0;762,2723;0
282;1329,827;0;1045,629;0;1329,827;0
283;483,8616;0;476,7693;0;483,8616;0
284;470,5298;0;465,1959;0;470,5298;0
285;754,3086;0;743,7982;0;754,3086;0
286;478,6909;0;471,8383;0;478,6909;0
287;1326,081;0;1318,744;0;1326,081;0
288;756,8458;0;734,0165;0;756,8458;0
289;462,2557;0;454,59;0;462,2557;0
290;945,0174;0;924,3557;0;945,0174;0
291;495,3468;0;485,9467;0;495,3468;0
292;489,1529;0;478,7708;0;489,1529;0
293;440,5273;0;435,2328;0;440,5273;0
294;1395,677;0;1372,045;0;1395,677;0
295;616,3017;0;591,8823;0;616,3017;0
296;2531,17;0;1888,176;0;2531,17;0
297;523,1609;0;509,3365;0;523,1609;0
298;1372,617;0;1342,852;0;1372,617;0
299;523,6446;0;515,8835;0;523,6446;0
300;560,8671;0;554,8302;0;560,8671;0
301;600,8088;0;596,4385;0;600,8088;0
302;564,5067;0;558,3309;0;564,5067;0
303;547,3168;0;537,2907;0;547,3168;0
304;552,3285;0;545,5026;0;552,3285;0
305;558,3458;0;553,4465;0;558,3458;0
306;920,8658;0;896,9826;0;920,8658;0
307;501,6932;0;494,6414;0;501,6932;0
308;483,5489;0;477,8852;0;483,5489;0
309;518,6976;0;511,2914;0;518,6976;0
310;497,6651;0;489,4385;0;497,6651;0
311;601,9503;0;594,822;0;601,9503;0
312;501,1153;0;493,3701;0;501,1153;0
313;2469,815;0;1374,425;0;2469,815;0
314;478,6951;0;468,4957;0;478,6951;0
315;643,9787;0;636,0427;0;643,9787;0
316;488,4734;0;482,2548;0;488,4734;0
317;590,4326;0;581,7407;0;590,4326;0
318;496,2366;0;486,0751;0;496,2366;0
319;1351,199;0;1339,025;0;1351,199;0
320;452,0971;0;440,5092;0;452,0971;0
321;500,9695;0;494,021;0;500,9695;0
322;4031,462;0;1641,194;0;4031,462;0
323;972,2808;0;931,1585;0;972,2808;0
324;769,6074;0;755,795;0;769,6074;0
325;461,2655;0;455,323;0;461,2655;0
326;5181,503;0;4072,215;0;5181,503;0
327;508,6229;0;501,5858;0;508,6229;0
328;2501,67;0;1348,922;0;2501,67;0
329;481,8239;0;471,4666;0;481,8239;0
330;493,8176;0;484,5591;0;493,8176;0
331;4099,568;0;3935,271;0;4099,568;0
332;947,7883;0;887,0282;0;947,7883;0
333;561,4501;0;549,7716;0;561,4501;0
334;785,7738;0;770,4799;0;785,7738;0
335;5226,043;0;3880,193;0;5226,043;0
336;484,9013;0;471,2703;0;484,9013;0
337;651,7191;0;624,7759;0;651,7191;0
338;482,5034;0;475,0417;0;482,5034;0
339;448,1733;0;440,1778;0;448,1733;0
340;512,4625;0;502,1906;0;512,4625;0
341;1342,411;0;922,1529;0;1342,411;0
342;478,2049;0;470,2423;0;478,2049;0
343;674,3121;0;665,4772;0;674,3121;0
344;771,5914;0;762,8962;0;771,5914;0
345;541,3065;0;532,3806;0;541,3065;0
346;627,2086;0;619,0742;0;627,2086;0
347;610,3497;0;603,8979;0;610,3497;0
348;487,1842;0;480,6744;0;487,1842;0
349;606,6136;0;597,5848;0;606,6136;0
350;520,9403;0;509,8233;0;520,9403;0
351;449,5568;0;442,0649;0;449,5568;0
352;528,0754;0;518,9326;0;528,0754;0
353;464,7076;0;456,6056;0;464,7076;0
354;443,1426;0;435,3562;0;443,1426;0
355;753,6754;0;718,5565;0;753,6754;0
356;553,8876;0;544,6661;0;553,8876;0
357;506,1798;0;500,8338;0;506,1798;0
358;599,8712;0;592,5704;0;599,8712;0
359;4048,345;0;3866,849;0;4048,345;0
360;486,0299;0;473,5126;0;486,0299;0
361;512,8199;0;505,1979;0;512,8199;0
362;463,0487;0;452,5836;0;463,0487;0
363;5194,283;0;4155,198;0;5194,283;0
364;1328,077;0;1311,027;0;1328,077;0
365;498,8651;0;489,4705;0;498,8651;0
366;658,6658;0;650,1463;0;658,6658;0
367;486,7415;0;470,0639;0;486,7415;0
368;576,156;0;568,4386;0;576,156;0
369;470,998;0;459,633;0;470,998;0
370;508,3101;0;497,0697;0;508,3101;0
371;1372,721;0;1358,327;0;1372,721;0
372;561,7653;0;544,917;0;561,7653;0
373;1352,611;0;1075,361;0;1352,611;0
374;512,1516;0;496,8459;0;512,1516;0
375;467,993;0;456,4438;0;467,993;0
376;481,0768;0;464,7136;0;481,0768;0
377;453,7782;0;442,2992;0;453,7782;0
378;502,9005;0;493,6625;0;502,9005;0
379;475,188;0;465,7622;0;475,188;0
380;591,6005;0;581,0482;0;591,6005;0
381;495,1073;0;476,7447;0;495,1073;0
382;3633,828;0;3623,706;0;3633,828;0
383;969,8284;0;956,2429;0;969,8284;0
384;434,0277;0;425,908;0;434,0277;0
385;1345,012;0;887,2262;0;1345,012;0
386;1356,605;0;1343,656;0;1356,605;0
387;458,596;0;448,1135;0;458,596;0
388;512,9026;0;501,2729;0;512,9026;0
389;492,6588;0;486,879;0;492,6588;0
390;498,737;0;490,6451;0;498,737;0
391;459,1169;0;454,4374;0;459,1169;0
392;454,558;0;448,5255;0;454,558;0
393;5165,27;0;4050,495;0;5165,27;0
394;655,2534;0;643,2279;0;655,2534;0
395;533,6877;0;520,6987;0;533,6877;0
396;559,3418;0;550,2562;0;559,3418;0
397;458,8542;0;450,1242;0;458,8542;0
398;532,2531;0;524,0648;0;532,2531;0
399;487,9812;0;479,0628;0;487,9812;0
400;462,8179;0;454,2704;0;462,8179;0
401;506,2155;0;497,7486;0;506,2155;0
402;492,8317;0;481,5619;0;492,8317;0
403;3573,471;0;3561,114;0;3573,471;0
404;5176,103;0;4102,882;0;5176,103;0
405;536,7743;0;528,7466;0;536,7743;0
406;585,1429;0;575,6036;0;585,1429;0
407;450,9324;0;442,0519;0;450,9324;0
408;464,3499;0;456,6956;0;464,3499;0
409;1335,365;0;1326,411;0;1335,365;0
